baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01800	9849.15930526153	0.0977783966770827	0.11258700645525	0.868469637443881	0.385137286967868	0.864819576836566
AT1G01810	268.523632356021	-0.0488188773270304	0.174256004483763	-0.280156069638217	0.779357768914644	0.973147704757738
AT1G01820	14066.6559586368	-0.18409282151385	0.155073612817985	-1.18713182835255	0.235175625556143	0.775816820509471
AT1G01830	2872.4180444088	0.258349293334669	0.154699375439808	1.67000863836836	0.0949176545089096	0.596581081908894
AT1G01840	8.32512820379323	0.476530990841323	0.891572669064125	0.534483623574433	0.593006976707392	0.934944922313445
AT1G01860	839.926895025861	0.0119296827437997	0.332583761049095	0.0358697090506433	0.971386248993355	0.997033464301383
AT1G01880	217.905170087404	-0.158394943710995	0.194998788131866	-0.81228681074614	0.416627076837668	0.878309770915136
AT1G01900	434.063137305443	0.168355838031443	0.158017413821356	1.06542585377188	0.286683262353271	0.811797563680727
AT1G01910	7834.31821040452	0.0135225173912099	0.108338653898718	0.124817107325809	0.900668343620285	0.988192783118435
AT1G01920	3663.61147525964	-0.126917364659527	0.16522270057031	-0.768159364430179	0.442392511876187	0.886680087809745
AT1G01930	2185.71969981184	-0.0795357235241463	0.125277804522103	-0.634874819426722	0.525510061026151	0.916490401265006
